Conversation Incomplete,input,output
6731d5178d73cb49ab128db6,"Below is the conversation between the bot and user

user: Annual Health Checkup
bot: For information regarding the Annual Health Checkup or any other Preventive Health Check-up (PHC) Packages at Fortis Rajajinagar, please visit the following link: https://tinyurl.com/Fortis-healthcheckup. If you have any specific health concerns or need a doctor's consultation, feel free to ask, and I can suggest a suitable doctor for you.

",Health Check-Up Packages
6731d4af6b52bb84569ab7bd,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

",Irrelevant Query
6731d183abffb67d0a3da12a,"Below is the conversation between the bot and user

user: Hello
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Can u call
bot: Hello, Thank you for your interest. You can reach us at +918433985879. Alternatively you can visit our online store here

https://cep.prodoc.ai/appointment/666d81d0a8596bfe7e8a6178/9833486638/Preetam

bot: If you would like to book an appointment, please use the link that has been sent to you to make an appointment.

user: I want half kilo
bot: Here is the link to purchase your Madhavprash https://madhavprash.store


user: Chyawanprash
bot: Chyawanprash is a separate product from Madhavprash and is referred to as Ganthokt or Classical medicine. If you have any specific questions about Madhavprash, feel free to ask!

user: Can u give bulk bottles of 1 kilo to me
bot: Currently, Madhavprash is available in 280-gram bottles. For bulk purchases, you can buy multiple 280-gram bottles. Discounts are available for purchasing 2 or 4 units, with a 5% discount for 2 units and a 10% discount for 4 units. You can purchase them directly from the online platform at https://madhavprash.store/.

","To Buy the Product, Product Enquiry"
6731d1328d73cb49ab128dad,"Below is the conversation between the bot and user

user: Recent one Madhavprash was ordered, but it is not received yet , please enquire
bot: We apologize for the inconvenience caused by the delay in receiving your Madhavprash order. Our products have helped many customers, and we take your experience seriously. Please ensure you follow the recommended usage once you receive it to see the benefits. If you would like further assistance or to book an appointment with our team, please let me know.

user: No, thanks
bot: You're welcome! If you have any other questions or need further assistance in the future, feel free to reach out. Have a great day!


","Order Enquiry, Product Enquiry"
6731d0a76ba2c2dce053fab1,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: I want to buy madhvprash
bot: You can visit our website at www.madhavbaug.org to explore and purchase Madhvprash. Simply navigate to the medicines section to find more information and make your purchase.

user: Thanku
bot: You're welcome! If you have any more questions or need assistance, feel free to ask.

","Symptom Consultation, To Buy the Product"
6731cc327eeb3fac1031f4bf,"Below is the conversation between the bot and user

user: Diabetic patient grade 2 aged about 70+
Takes insulin from outside everyday 
can take this chamanprash?
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash? Regarding your question, a diabetic patient with grade 2 diabetes who is aged 70+ and takes insulin daily can take Madhavprash. It is sugar-free and has been shown to help in managing blood sugar levels, making it suitable for diabetics. However, it is always advisable to consult with a healthcare provider before adding any new supplement to their routine.

user: Okk
bot: If you have any more questions or need further assistance, feel free to ask. If you're interested in purchasing Madhavprash, here is the link to purchase your Madhavprash https://madhavprash.store.


user: I have already ordered.
bot: Great to hear that you've already ordered Madhavprash! If you have any other questions or need further assistance, feel free to ask.


",Product Enquiry
6731caf46c94ae23cf5266a8,"Below is the conversation between the bot and user

user: Book appointment
bot: Appointment Form Sent

bot: I have sent you the Appointment Creation Form. Please use the form to book your appointment. If you need further assistance, feel free to ask!

",Appointment Booking
6731c97b7eeb3fac1031f4bb,"Below is the conversation between the bot and user

user: Sir I need cost os circumcision
bot: The cost of circumcision at Smiles Hospitals is currently discounted to 25k-26k due to our male wellness week. For more details, please contact 8010540540. Additionally, I will send you the testimonial videos for your reference.

user: Send vedio
bot: Here are the testimonial videos for circumcision:

1. [ZSR Stapler Circumcision In Bangalore | Best Laser Circumcision | Top Rated Hospital](https://youtu.be/05lQm_kyJWQ)
2. [Rajesh Got Cured From Tight Foreskin | Advance ZSR Stapler In Bangalore | Day Care Treatment](https://youtu.be/ZEMZ4fag_0c)

If you have any more questions or need further assistance, feel free to ask!

","Hospital Services Enquiry, Cost Enquiry, Surgery Enquiry"
6731c9206c94ae23cf5266a6,"Below is the conversation between the bot and user

user: Sir fatty liver sati Kay treatment ahe
bot: For the treatment of fatty liver, Madhavbaug offers a comprehensive approach including dietary adjustments, physical activity, Ayurvedic treatments, lifestyle modifications, and monitoring and support.

user: Yes ..how many treatment cost
bot: At Madhavbaug, the availability and extent of any additional discounts for patients enrolled in a treatment plan are determined at the discretion of the clinic doctor. Each patient’s treatment plan is unique, and the doctor may offer discounts based on specific criteria, such as the type of treatment, the scope of the plan, and the duration of care required. We recommend discussing potential discounts directly with your Madhavbaug clinic to explore solutions for treatment costs.

user: Ok
bot: If you are interested in booking an appointment or have any more questions, feel free to let me know!

","Cost Enquiry, Surgery Enquiry"
6731c882f280c8f9d8589206,"Below is the conversation between the bot and user

user: Hi
bot: Namaste! How can I assist you today?


user: Book
bot: Could you please provide the patient's name for the appointment booking?

user: Avdhut
bot: Appointment booking successful for Avdhut!

Appointment Details:
- Appointment Date & Time: 11-11-2024, 14:40
- Token Number: 1

Please arrive at the clinic before 11-11-2024, 20:00.

user: Book appointment
bot: Namaste! Could you please provide the patient's name for booking the appointment?


user: राजेंद्र पाटील
bot: Your appointment for राजेंद्र पाटील has been successfully booked. Here are the details:

- **Appointment Date & Time:** 11-11-2024, 14:55
- **Token Number:** 2

Please make sure to arrive at the clinic before 21:00 on 11-11-2024. If you have any other questions or need further assistance, feel free to ask!

user: Book appointment
bot: Namaste! Could you please provide the patient's name for booking the appointment?

user: Avdhut
bot: The appointment for Avdhut has been successfully booked. Here are the details:

- **Appointment Date & Time:** 11-11-2024, 15:10
- **Token Number:** 3

Please make sure to arrive at the clinic before 21:00 on 11-11-2024. If you have any other questions or need further assistance, feel free to ask!

bot: thank dfgdgf

user: बस्तीचे फायदे
user: Panchakarma
",Appointment Booking
